X1 transaction date,X2 house age,X4 number of convenience stores,X5 latitude,X6 longitude,Year,Log_Distance,QualityIndex
2013.333,9.0,0,24.98569,121.5276,2013,7.246379484171433,0.0
2013.417,4.5,3,24.96314,121.51151,2013,7.730560046159368,0.0013175942310454187
2013.417,13.1,4,24.99156,121.53406,2013,7.0611954207227,0.003431008424841187
2012.833,0.0,1,24.9748,121.53059,2012,5.616823459932007,0.003636173233110702
2013.5,35.3,8,24.97945,121.53642,2013,6.425798089758902,0.01295392370300863
2012.667,1.5,7,24.96772,121.54102,2012,3.1938796061941663,0.2870871481746999
2013.25,9.1,0,24.98569,121.5276,2013,7.246379484171433,0.0
2013.083,20.6,2,24.98092,121.54739,2013,6.60518438270325,0.0027066672386756763
2012.917,16.9,4,24.98872,121.53411,2012,6.872904587360439,0.0041418603745732845
2013.5,4.0,3,24.96299,121.51284,2013,7.6724674868648295,0.0013964036090516742
2013.083,42.7,6,24.97927,121.53874,2013,6.097629239329142,0.013489147980449728
2013.25,16.5,6,24.97841,121.54281,2013,5.782763080037192,0.01848115692042322
2013.167,16.2,5,24.98203,121.54348,2013,5.671000296248436,0.017222090568907653
2013.083,33.0,9,24.97697,121.54262,2013,5.204427477652901,0.04942974550271698
2013.083,38.5,3,24.97503,121.53692,2013,6.50138516147648,0.004504074385689295
2013.167,13.2,2,24.97371,121.54951,2013,6.621499389048421,0.002662866223991786
2013.333,33.6,0,24.97281,121.53265,2013,5.6053957337541105,0.0
2013.25,6.5,6,24.95418,121.53713,2013,5.93269840038138,0.015907908059715106
2013.417,14.7,2,24.96447,121.51649,2013,7.449028436164695,0.0011640135886946345
2013.417,18.2,8,24.96945,121.5449,2013,6.115101305140771,0.01767401559599321
2013.5,8.5,5,24.96674,121.54067,2013,4.66164597800588,0.047254468146235566
2012.917,9.9,7,24.97528,121.54541,2012,5.6354058418266275,0.024984598779466658
2012.917,13.7,1,24.97694,121.55391,2012,7.120900210277275,0.0008080390185881295
2012.667,34.5,7,24.97933,121.53642,2012,6.436908254178333,0.011209450014740425
2013.083,16.2,5,24.98203,121.54348,2013,5.671000296248436,0.017222090568907653
2013.167,30.1,3,24.97509,121.53644,2013,6.578269758319731,0.004170758064473525
2013.333,6.3,9,24.97433,121.5431,2013,4.515858638360371,0.0984079130458933
2013.0,17.6,0,24.96334,121.54767,2013,6.731880854694261,0.0
2012.667,30.6,8,24.98155,121.54142,2012,4.975617947739359,0.055234009236507196
2012.917,20.6,4,24.96108,121.51046,2012,7.812234529135817,0.001619010420355818
2013.25,22.2,10,24.98343,121.53762,2013,5.941637282836104,0.02627723799951387
2012.833,34.9,4,24.97003,121.5458,2012,6.342182860495539,0.007041820845867041
2012.667,30.4,2,24.96464,121.51623,2012,7.459681578433179,0.0011516790040279972
2012.917,30.0,5,24.99006,121.5346,2012,6.9219944195308925,0.004929308782746631
2012.917,21.2,4,24.974,121.53842,2012,6.241344864209525,0.007788939977844359
2013.417,0.0,9,24.96853,121.54413,2013,5.82885120138843,0.026473087606212236
2012.833,0.0,0,24.9711,121.5317,2012,5.22805368792764,0.0
2013.5,4.0,3,24.96299,121.51284,2013,7.6724674868648295,0.0013964036090516742
2012.75,0.0,6,24.95618,121.53844,2012,5.344200929690003,0.028654595122510333
2012.917,38.2,2,24.97598,121.53381,2012,6.316148105221386,0.0036137801387004956
2012.833,0.0,0,24.9711,121.5317,2012,5.22805368792764,0.0
2013.333,12.2,1,24.95204,121.54842,2013,7.216077128222659,0.0007346788241318485
2012.667,15.5,4,24.97886,121.53464,2012,6.70555512560641,0.004896371959750843
2013.25,13.3,7,24.96606,121.54297,2013,5.52796372868312,0.02781851202753238
2013.417,31.4,2,24.9726,121.53561,2013,6.386038225001191,0.0033698365258602943
2013.25,3.8,5,24.98085,121.54391,2013,5.9528858678068515,0.01299165623869726
2012.833,20.5,3,24.96322,121.51237,2012,7.689887221459569,0.0013722892712595054
2013.0,39.6,4,24.97353,121.53885,2013,6.177316738868703,0.008303963253301811
2013.417,36.1,5,24.96305,121.53758,2013,6.254716302254475,0.009606854836772812
2012.917,3.5,8,24.95836,121.53756,2012,3.92515737077011,0.1579122422452752
2012.917,18.9,0,24.96357,121.54951,2012,6.917938256038405,0.0
2013.583,35.9,3,24.97723,121.53767,2013,6.425517759946048,0.004859083343645388
2013.167,20.9,3,24.96322,121.51237,2013,7.689887221459569,0.0013722892712595054
2012.667,37.1,1,24.97198,121.55063,2012,6.823977613362122,0.001087387103393224
2013.167,39.8,2,24.97577,121.53475,2013,6.427642160618229,0.0032325144404501344
2013.25,34.4,8,24.96881,121.54089,2013,4.849907700374559,0.06263280111110589
2013.167,10.0,0,24.97843,121.52406,2013,6.849560752091809,0.0
2013.5,8.5,5,24.96674,121.54067,2013,4.66164597800588,0.047254468146235566
2013.5,18.1,0,24.96334,121.54767,2013,6.731880854694261,0.0
2013.083,28.4,3,24.97746,121.53299,2013,6.4272040589590285,0.0048508963809725855
2012.833,4.0,3,24.96324,121.51241,2012,7.6876510936845,0.0013753613188798141
2013.083,12.8,3,24.97289,121.51728,2013,7.279816642522581,0.0020679358278153912
2013.5,10.4,4,24.95957,121.51353,2013,7.7199904211898565,0.0017754594223187677
2013.417,13.1,5,24.98746,121.54391,2013,6.333252096677222,0.008881239181540521
2013.083,15.6,2,24.9832,121.51812,2013,7.4715969822887685,0.0011380377157079362
2013.0,5.2,0,24.95505,121.55964,2013,7.787379121916167,0.0
2013.5,26.4,6,24.9796,121.5414,2013,5.8186792750658975,0.017829162745488996
2013.5,4.1,7,24.95744,121.53711,2013,4.051337021412299,0.12179367281869707
2012.667,12.6,7,24.96735,121.54464,2012,5.951372754675281,0.018215860549780694
2013.417,19.8,5,24.97017,121.54647,2013,6.463976122575864,0.007792931219121485
2012.75,34.4,6,24.98748,121.54301,2012,6.241808977315053,0.011677988801198006
2012.917,13.0,5,24.96515,121.53737,2012,6.200978232374626,0.010137231761244675
2013.417,21.2,3,24.96322,121.51237,2013,7.689887221459569,0.0013722892712595054
2012.833,34.8,8,24.97347,121.54271,2012,5.174053752230144,0.04529257303710481
2012.667,5.7,9,24.97433,121.5431,2012,4.515858638360371,0.0984079130458933
2013.167,1.1,6,24.96571,121.54089,2013,5.270866516014368,0.03083493289547729
2012.667,15.6,5,24.98203,121.54348,2012,5.671000296248436,0.017222090568907653
2013.0,19.1,5,24.95425,121.5399,2013,6.135784780324241,0.010820131330426036
2013.417,3.9,3,24.96299,121.51284,2013,7.6724674868648295,0.0013964036090516742
2013.25,29.6,8,24.98092,121.53653,2013,6.28511688699269,0.014910712787986438
2013.417,8.0,9,24.98298,121.53981,2013,4.894452727006516,0.06739205477626213
2012.917,12.7,1,24.97371,121.52984,2012,5.142417073706842,0.005843548342798908
2013.167,33.2,10,24.98178,121.54059,2013,4.809955857855163,0.08148219369621157
2013.25,21.7,0,24.96165,121.55011,2013,7.055302489532916,0.0
2012.75,31.4,3,24.97285,121.5173,2012,7.278136067254532,0.0020714140715300706
2012.667,1.1,5,24.98254,121.54395,2012,5.802041937410439,0.015106894877463445
2013.25,35.8,7,24.96719,121.54269,2013,5.145929881379088,0.04076139965329518
2013.583,6.6,9,24.97433,121.5431,2013,4.515858638360371,0.0984079130458933
2013.333,34.5,6,24.97814,121.5417,2013,5.786719144624588,0.018408188698660715
2013.583,30.6,10,24.98123,121.53743,2013,6.068683425371631,0.02314218046550033
2012.667,23.0,6,24.95663,121.53765,2012,4.8827602550516245,0.045456439472856824
2013.583,13.3,5,24.98746,121.54391,2013,6.333252096677222,0.008881239181540521
2013.417,3.5,3,24.97538,121.54971,2013,6.631128800942121,0.003956021176317622
2013.083,41.3,6,24.96674,121.54039,2013,4.8362120632426215,0.04762237362609452
2013.083,12.8,0,24.97668,121.52518,2013,6.5983084635435585,0.0
2013.083,11.0,2,24.96412,121.5167,2013,7.446370373655446,0.0011671117252712367
2013.25,10.4,5,24.95593,121.53913,2013,5.625637132512397,0.01802133004624273
2012.833,18.0,8,24.9866,121.54082,2012,5.9253079175387855,0.02136788092320998
2013.25,34.6,5,24.95562,121.53872,2013,5.611953329016032,0.018269625322869954
2012.75,38.0,0,24.97229,121.53445,2012,6.137262151219226,0.0
2013.0,33.9,7,24.96628,121.54196,2013,5.066418095548515,0.04413474463636753
2013.25,16.2,5,24.98203,121.54348,2013,5.671000296248436,0.017222090568907653
2012.917,25.3,3,24.96056,121.50831,2012,7.904110379833682,0.0011076683138925238
2012.833,31.3,5,24.96871,121.54651,2012,6.400025524729615,0.008307574314575274
2012.75,29.6,7,24.98281,121.53408,2012,6.646914273765974,0.009086148892904678
2012.917,40.9,5,24.9663,121.54026,2012,5.127522521228559,0.029656183996455494
2012.75,15.9,5,24.98203,121.54348,2012,5.671000296248436,0.017222090568907653
2013.167,13.3,5,24.96515,121.53737,2013,6.200978232374626,0.010137231761244675
2013.167,27.5,7,24.97305,121.53994,2013,5.978929561410395,0.017720742863666986
2013.083,41.4,8,24.97345,121.54093,2013,5.642633757192298,0.02834818660193831
2012.75,0.0,0,24.9711,121.5317,2012,5.22805368792764,0.0
2012.75,11.5,1,24.95204,121.54842,2012,7.216077128222659,0.0007346788241318485
2013.0,13.0,2,24.97371,121.54951,2013,6.621499389048421,0.002662866223991786
2013.083,31.3,1,24.95402,121.55282,2013,7.4727315310662545,0.0005683736442867649
2013.333,14.1,5,24.98203,121.54348,2013,5.671000296248436,0.017222090568907653
2012.917,6.8,10,24.98343,121.53762,2012,5.941637282836104,0.02627723799951387
2013.25,30.3,0,24.94883,121.52954,2013,7.14340430981663,0.0
2013.417,6.4,9,24.97433,121.5431,2013,4.515858638360371,0.0984079130458933
2013.5,5.2,5,24.97937,121.54245,2013,5.97016021281406,0.012769161147835219
2013.0,18.0,1,24.95182,121.54887,2013,7.255476154633306,0.0007062959931122014
2013.5,13.1,4,24.99176,121.53456,2013,7.043540629533941,0.003492120031149711
2012.667,20.4,4,24.96108,121.51046,2012,7.812234529135817,0.001619010420355818
2012.667,3.1,6,24.97201,121.54722,2012,6.361235981407079,0.010363383402868758
2013.083,7.1,5,24.97563,121.54694,2013,6.114221414949813,0.011055983520393203
2013.417,9.7,5,24.98246,121.54477,2013,6.046139741419925,0.011834907770563745
2013.0,11.6,5,24.97937,121.54245,2013,5.97016021281406,0.012769161147835219
2012.833,5.1,2,24.98407,121.51748,2012,7.532748343344404,0.0010705302818224494
2013.417,2.6,3,24.97026,121.51642,2013,7.349391583395129,0.0019289503295290146
2013.417,28.2,8,24.97408,121.54011,2013,5.802376348141524,0.024162950102903966
2013.083,17.7,0,24.96334,121.54767,2013,6.731880854694261,0.0
2012.917,31.7,0,24.9496,121.53018,2012,7.056566586841851,0.0
2013.083,11.9,1,24.95204,121.54842,2013,7.216077128222659,0.0007346788241318485
2013.25,2.3,6,24.96581,121.54086,2013,5.222139098964736,0.03237464806059671
2013.083,13.3,5,24.95776,121.53438,2013,5.820240781394714,0.014834453433463917
2012.75,13.0,5,24.96515,121.53737,2012,6.200978232374626,0.010137231761244675
2013.167,21.3,4,24.97425,121.53814,2013,6.289339062190618,0.007423944932146071
2013.083,17.2,8,24.97707,121.54308,2013,5.249747203176654,0.041990760982814755
2012.75,15.6,2,24.97795,121.53451,2012,6.62508316901724,0.0026533401771820972
2012.917,38.3,3,24.97559,121.53713,2012,6.467230448777775,0.004660567020118891
2013.333,39.7,9,24.98016,121.53932,2013,5.812241883779974,0.026916459385006752
2012.75,11.4,5,24.97937,121.54245,2012,5.97016021281406,0.012769161147835219
2013.417,21.7,9,24.9703,121.54458,2013,6.141956327031762,0.019356408035662246
2013.5,17.5,4,24.98872,121.53411,2013,6.872904587360439,0.0041418603745732845
2013.417,28.6,6,24.97631,121.54436,2013,5.288942560048952,0.030282566629217224
2012.75,12.9,7,24.96606,121.54297,2012,5.52796372868312,0.02781851202753238
2012.917,5.9,9,24.97433,121.5431,2012,4.515858638360371,0.0984079130458933
2012.667,0.0,0,24.9711,121.5317,2012,5.22805368792764,0.0
2012.833,5.0,5,24.97937,121.54245,2012,5.97016021281406,0.012769161147835219
2013.583,16.6,6,24.97841,121.5428,2013,5.782874576801284,0.01847909644610017
2013.5,4.1,5,24.95591,121.53956,2013,5.749062676585065,0.01592882745033949
2013.583,33.3,7,24.97701,121.54224,2013,5.2863318260600245,0.03542201792151695
2013.25,17.3,1,24.97501,121.5273,2013,6.098374012523507,0.002246517560803121
2012.833,10.3,1,24.97417,121.52999,2012,5.358693957607386,0.00470704970126709
2012.833,2.0,3,24.96357,121.51329,2012,7.639348834511381,0.0014434249587421033
2013.333,15.2,5,24.95425,121.5399,2013,6.135784780324241,0.010820131330426036
2013.583,4.0,3,24.96299,121.51284,2013,7.6724674868648295,0.0013964036090516742
2013.083,4.8,3,24.97213,121.51627,2013,7.352971087980396,0.0019220579859266914
2012.833,12.5,5,24.98746,121.54391,2012,6.333252096677222,0.008881239181540521
2013.083,16.1,5,24.98203,121.54348,2013,5.671000296248436,0.017222090568907653
2012.75,15.4,7,24.98419,121.54243,2012,5.329656137103712,0.03392015196228079
2013.083,2.5,4,24.96696,121.53992,2013,5.057800010957554,0.02543814016669613
2013.25,1.1,6,24.96571,121.54089,2013,5.270866516014368,0.03083493289547729
2012.833,12.7,1,24.97388,121.52981,2012,5.239004103275016,0.0053055379735922155
2013.5,19.2,4,24.97419,121.53797,2013,6.325215226506901,0.007162323314436738
2013.083,36.6,8,24.97015,121.54494,2013,6.194036547580058,0.01633255365805308
2013.167,16.2,3,24.95885,121.51359,2013,7.735875125532981,0.001310609691259675
2013.083,17.5,5,24.95674,121.534,2013,5.983116549333235,0.012604786743394525
2013.5,13.5,3,24.96299,121.51284,2013,7.6724674868648295,0.0013964036090516742
2013.5,32.3,10,24.98182,121.54086,2013,4.709039089745797,0.09013434524158258
2013.333,12.0,1,24.95204,121.54842,2013,7.216077128222659,0.0007346788241318485
2013.583,6.6,9,24.97433,121.5431,2013,4.515858638360371,0.0984079130458933
2012.667,34.9,8,24.97349,121.54245,2012,5.19547478933202,0.04433267684027712
2013.333,5.1,3,24.97213,121.51627,2013,7.352971087980396,0.0019220579859266914
2013.417,17.9,3,24.96731,121.51486,2013,7.486714204911196,0.0016814446972839062
2013.583,32.5,8,24.97587,121.53913,2013,6.053368820409339,0.018799457259668913
2013.583,35.7,2,24.9824,121.54619,2013,6.363387176996909,0.0034470379000093587
2013.417,4.3,7,24.9805,121.53778,2013,6.070826638599479,0.01616484446533045
2013.083,36.6,8,24.97015,121.54494,2013,6.194036547580058,0.01633255365805308
2013.333,0.0,6,24.97744,121.54458,2013,5.683572284317487,0.020408315980595775
2012.917,31.5,9,24.96867,121.54331,2012,5.557545950673721,0.03472409775219341
2013.417,7.5,5,24.97258,121.54814,2013,6.462436145220659,0.007804941402060941
2013.25,3.7,6,24.97201,121.54722,2013,6.361235981407079,0.010363383402868758
2013.5,5.6,0,24.95505,121.55964,2013,7.787379121916167,0.0
2012.833,34.7,5,24.97433,121.53863,2012,6.181584988389856,0.010335744249036863
2013.167,3.6,10,24.98322,121.53765,2013,5.926496333665894,0.02667812759027945
2013.5,13.7,7,24.96606,121.54297,2013,5.52796372868312,0.02781851202753238
2012.75,7.8,5,24.96674,121.54067,2012,4.66164597800588,0.047254468146235566
2013.333,3.9,8,24.95836,121.53756,2013,3.92515737077011,0.1579122422452752
2013.417,33.5,2,24.98674,121.51844,2013,7.5906859482660485,0.0010102688780105381
2012.667,30.9,9,24.98353,121.53966,2012,5.093394309264021,0.05523437787679051
2013.333,37.3,8,24.97077,121.54634,2013,6.378235503334031,0.013584933086563025
2013.5,16.5,3,24.95885,121.51359,2013,7.735875125532981,0.001310609691259675
2012.917,32.4,8,24.98059,121.53986,2012,5.583725229945671,0.030068303910871532
2013.167,11.6,8,24.98489,121.54121,2013,5.312683182308865,0.03942947520847103
2013.417,21.7,4,24.974,121.53842,2013,6.241344864209525,0.007788939977844359
2013.417,16.4,6,24.96412,121.54273,2013,5.968251957493083,0.015352261477670518
2013.583,18.1,3,24.96731,121.51486,2013,7.486714204911196,0.0016814446972839062
2012.833,4.6,6,24.97585,121.54516,2012,5.563219561589645,0.0230184297057439
2012.833,3.4,7,24.95744,121.53711,2012,4.051337021412299,0.12179367281869707
2013.5,25.3,3,24.96622,121.51709,2013,7.368164276606231,0.0018930765143665576
2013.5,5.3,6,24.97585,121.54516,2013,5.563219561589645,0.0230184297057439
2012.917,19.5,9,24.98034,121.53951,2012,5.728783007313997,0.029259281775661287
2013.417,33.6,8,24.97254,121.54059,2013,5.919564328379872,0.02149096237872717
2013.25,9.1,0,24.98569,121.5276,2013,7.246379484171433,0.0
2013.25,8.0,4,24.96007,121.51361,2013,7.7041862202363545,0.0018037420432429117
2013.167,12.0,1,24.95204,121.54842,2013,7.216077128222659,0.0007346788241318485
2013.167,18.2,3,24.96299,121.51252,2013,7.687350761367975,0.001375774446365433
2013.083,1.1,6,24.96571,121.54089,2013,5.270866516014368,0.03083493289547729
2013.417,11.0,2,24.96365,121.51471,2013,7.56641815189022,0.001035085785322173
2012.75,12.5,4,24.99176,121.53456,2012,7.043540629533941,0.003492120031149711
2013.417,13.2,1,24.97371,121.52984,2013,5.142417073706842,0.005843548342798908
2013.5,13.2,4,24.99156,121.53406,2013,7.0611954207227,0.003431008424841187
2013.417,12.2,1,24.95204,121.54842,2013,7.216077128222659,0.0007346788241318485
2013.417,6.4,9,24.97433,121.5431,2013,4.515858638360371,0.0984079130458933
2013.5,14.4,1,24.97369,121.52979,2013,5.141548345187728,0.005848627005567308
2012.917,34.8,8,24.97707,121.54312,2012,5.252478642590779,0.04187622226223728
2012.833,15.0,2,24.96464,121.51531,2012,7.511699045429948,0.0010933030269734256
2013.167,1.9,7,24.97293,121.54026,2013,5.921949932393844,0.018759785237978596
2012.75,3.2,8,24.97017,121.54494,2012,6.196203976760977,0.016297192340075144
2013.5,34.6,0,24.998,121.5155,2013,8.034686118897746,0.0
2013.417,14.7,2,24.96447,121.51649,2013,7.449028436164695,0.0011640135886946345
2013.167,1.1,6,24.96571,121.54089,2013,5.270866516014368,0.03083493289547729
2012.667,1.5,7,24.96772,121.54102,2012,3.1938796061941663,0.2870871481746999
2012.917,17.2,3,24.96303,121.51254,2012,7.685646559868049,0.001378121042208632
2012.917,3.5,7,24.95744,121.53711,2012,4.051337021412299,0.12179367281869707
2013.083,34.0,7,24.96628,121.54196,2013,5.066418095548515,0.04413474463636753
2013.083,6.2,9,24.97433,121.5431,2013,4.515858638360371,0.0984079130458933
2013.25,18.8,7,24.97923,121.53986,2013,5.971184285762819,0.01785852780419706
2013.083,0.0,1,24.9748,121.53059,2013,5.616823459932007,0.003636173233110702
2013.167,43.8,7,24.9675,121.54069,2013,4.070554646245185,0.11947543457055836
2013.0,1.0,6,24.96571,121.54089,2013,5.270866516014368,0.03083493289547729
2012.833,31.7,0,24.94968,121.53009,2012,7.057581191900453,0.0
2013.25,17.8,3,24.96731,121.51486,2013,7.486714204911196,0.0016814446972839062
2012.917,15.0,7,24.96735,121.54464,2012,5.951372754675281,0.018215860549780694
2012.917,14.7,1,24.95204,121.54842,2012,7.216077128222659,0.0007346788241318485
2012.833,18.4,3,24.96143,121.50827,2012,7.892063847150886,0.001121092571976946
2013.083,14.0,1,24.97493,121.5273,2013,6.086436715247345,0.0022734956109030486
2013.583,16.4,2,24.95394,121.55174,2013,7.405191057541362,0.0012161758687600297
2013.333,19.2,8,24.972,121.54477,2013,5.952497341818867,0.020794727704737743
2013.083,32.0,0,24.94935,121.53046,2013,7.054257066185884,0.0
2012.667,29.1,4,24.97845,121.53889,2012,6.228736619163716,0.00788776654735105
2013.333,13.9,5,24.98203,121.54348,2013,5.671000296248436,0.017222090568907653
2013.417,13.2,2,24.96412,121.5167,2013,7.446370373655446,0.0011671117252712367
2013.417,0.0,6,24.97744,121.54458,2013,5.683572284317487,0.020408315980595775
2013.5,13.6,5,24.96515,121.53737,2013,6.200978232374626,0.010137231761244675
2013.083,27.6,5,24.96299,121.5432,2013,6.2463241837049726,0.00968781594389747
2013.083,8.1,5,24.96674,121.54067,2013,4.66164597800588,0.047254468146235566
2013.417,16.4,5,24.98203,121.54348,2013,5.671000296248436,0.017222090568907653
2012.667,20.2,3,24.96322,121.51237,2012,7.689887221459569,0.0013722892712595054
2013.417,32.8,8,24.98236,121.53923,2013,5.323841340778605,0.03899196034517633
2012.667,33.4,6,24.96604,121.54211,2012,5.236274927603747,0.031920224973745616
2013.5,6.5,9,24.97433,121.5431,2013,4.515858638360371,0.0984079130458933
2013.417,10.5,7,24.97528,121.54541,2013,5.6354058418266275,0.024984598779466658
2013.333,17.6,2,24.98672,121.52091,2013,7.499237883255931,0.0011070120913395677
2013.5,11.8,4,24.97445,121.54765,2013,6.281287201877833,0.007483962803208076
2013.5,16.6,5,24.98203,121.54348,2013,5.671000296248436,0.017222090568907653
2013.5,38.3,0,24.97161,121.53423,2013,6.088388197295903,0.0
2013.25,40.9,8,24.96756,121.5423,2013,4.815122311771636,0.06484984423878036
2013.333,14.8,6,24.96172,121.53812,2013,5.977012111975054,0.015218360647754302
